timestamp,test-class,test-method,time,description,result
2021-09-04 18:40:05.135,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,5471,"[1] index=0, username=anonymous, name=John, surname=Doe",OK
2021-09-04 18:40:09.409,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3865,"[2] index=1, username=administrator, name=Administrator, surname=Acme.com",OK
2021-09-04 18:40:13.626,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3820,"[3] index=2, username=manager1, name=Jhon, surname=Lock",OK
2021-09-04 18:40:17.862,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listPositive,3856,"[4] index=3, username=manager2, name=Pepe, surname=Lock",OK
2021-09-04 18:40:18.99,acme.testing.administrator.userAccount.AdministratorListUserAccountTest,listNegative,781,"listNegative()",OK
2021-09-04 18:40:37.643,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,6655,"[1] recordIndex=0, username=anonymous, name=John, surname=Doe, email=john.doe@acme.com, roles=Anonymous, status=DISABLED",OK
2021-09-04 18:40:43.616,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5524,"[2] recordIndex=1, username=administrator, name=Administrator, surname=Acme.com, email=administrator@acme.com, roles=Administrator Authenticated, status=ENABLED",OK
2021-09-04 18:40:49.435,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5410,"[3] recordIndex=2, username=manager1, name=Jhon, surname=Lock, email=jhonlock@gmail.com, roles=Manager Authenticated, status=ENABLED",OK
2021-09-04 18:40:55.242,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updatePositive,5443,"[4] recordIndex=3, username=manager2, name=Pepe, surname=Lock, email=pepelock@gmail.com, roles=Manager Authenticated, status=ENABLED",OK
2021-09-04 18:40:55.987,acme.testing.administrator.userAccount.AdministratorUserAccountShowTest,updateNegative,433,"updateNegative()",OK
2021-09-04 18:41:15.716,acme.testing.authenticated.userAccount.AuthenticatedUserAccountUpdateTest,updatePositive,7728,"[1] recordIndex=0, password=manag3r, confirmation=manag3r, name=John, surname=García, email=john@us.es",OK
2021-09-04 18:41:22.604,acme.testing.authenticated.userAccount.AuthenticatedUserAccountUpdateTest,updatePositive,6502,"[2] recordIndex=1, password=manag3r, confirmation=manag3r, name=Manuel Ramón, surname=Benítez López, email=juan@engineer.com",OK
2021-09-04 18:41:27.489,acme.testing.authenticated.userAccount.AuthenticatedUserAccountUpdateTest,updateNegative,4515,"[1] recordIndex=0, password=null, confirmation=null, name=null, surname=null, email=null",OK
2021-09-04 18:41:32.311,acme.testing.authenticated.userAccount.AuthenticatedUserAccountUpdateTest,updateNegative,4461,"[2] recordIndex=1, password=manag3r, confirmation=manag4r, name=sex, surname=García, email=johnus.es",OK
2021-09-04 18:41:52.009,acme.testing.manager.userAccount.ManagerCreateUserAccountTest,managerAccountCreatePositive,7361,"managerAccountCreatePositive()",OK
2021-09-04 18:41:52.944,acme.testing.manager.userAccount.ManagerCreateUserAccountTest,managerAccountCreateNegative,535,"managerAccountCreateNegative()",OK
2021-09-04 18:42:11.373,acme.testing.anonymous.userAccount.SignUpTest,positiveSingUp,6927,"[1] username=johnny, password=johnny, name=Johnny, surname=López, email=john@mail.com",OK
